Date,Close/Last,Volume,Open,High,Low
11/10/2020,$64.52 ,11210020,$64.21 ,$64.80 ,$63.71 
11/9/2020,$64.08 ,15533290,$65.12 ,$66.08 ,$63.99 
11/6/2020,$63.80 ,9680121,$63.61 ,$64.92 ,$63.38 
11/5/2020,$63.75 ,17676080,$64.99 ,$65.38 ,$63.54 
11/4/2020,$65.43 ,24699670,$63.96 ,$66.23 ,$63.75 
11/3/2020,$61.24 ,14235980,$61.01 ,$62.24 ,$60.21 
11/2/2020,$59.49 ,10318910,$59.19 ,$59.64 ,$58.84 
10/30/2020,$58.45 ,11156020,$57.71 ,$58.48 ,$57.59 
10/29/2020,$57.92 ,8838608,$57.81 ,$58.43 ,$56.75 
10/28/2020,$57.76 ,11931160,$58.00 ,$58.54 ,$57.40 
10/27/2020,$58.74 ,10008250,$59.26 ,$59.84 ,$58.56 
10/26/2020,$59.67 ,7484139,$59.82 ,$60.14 ,$59.04 
10/23/2020,$60.13 ,7336812,$60.83 ,$61.22 ,$60.07 
10/22/2020,$60.76 ,7038473,$59.98 ,$61.01 ,$59.95 
10/21/2020,$60.03 ,8004805,$60.39 ,$60.75 ,$59.95 
10/20/2020,$60.64 ,6635199,$61.09 ,$61.27 ,$60.53 
10/19/2020,$60.77 ,10999140,$61.80 ,$62.42 ,$60.51 
10/16/2020,$61.24 ,9385613,$60.67 ,$61.74 ,$60.65 
10/15/2020,$60.42 ,13105280,$60.59 ,$60.90 ,$60.31 
10/14/2020,$61.00 ,8823159,$61.11 ,$61.63 ,$60.72 
10/13/2020,$61.13 ,8374420,$61.56 ,$62.01 ,$60.98 
10/12/2020,$61.83 ,11532170,$61.98 ,$62.25 ,$61.48 
10/9/2020,$61.82 ,9408430,$61.80 ,$62.30 ,$61.61 
10/8/2020,$61.62 ,11787270,$60.85 ,$62.09 ,$60.46 
10/7/2020,$60.42 ,14632580,$58.15 ,$60.98 ,$57.96 
10/6/2020,$57.74 ,13113350,$59.34 ,$59.46 ,$57.61 
10/5/2020,$59.20 ,10992260,$58.55 ,$59.28 ,$57.95 
10/2/2020,$58.72 ,12574250,$59.39 ,$60.01 ,$58.68 
10/1/2020,$59.82 ,8747559,$60.38 ,$60.57 ,$59.63 
9/30/2020,$60.29 ,10322520,$60.14 ,$60.64 ,$59.79 
9/29/2020,$59.90 ,8084277,$59.84 ,$60.94 ,$59.68 
9/28/2020,$59.71 ,9616574,$59.37 ,$60.21 ,$58.96 
9/25/2020,$59.49 ,9835945,$58.26 ,$59.84 ,$58.16 
9/24/2020,$58.25 ,10358750,$58.48 ,$58.82 ,$57.70 
9/23/2020,$58.99 ,11436560,$59.05 ,$59.50 ,$58.62 
9/22/2020,$58.76 ,12466790,$57.77 ,$58.85 ,$57.63 
9/21/2020,$57.77 ,16199700,$58.92 ,$58.96 ,$56.90 
9/18/2020,$59.27 ,13944500,$59.09 ,$59.72 ,$58.83 
9/17/2020,$59.40 ,6624754,$59.00 ,$59.43 ,$58.26 
9/16/2020,$59.45 ,6164360,$59.67 ,$59.97 ,$59.24 
9/15/2020,$59.53 ,8259337,$59.97 ,$60.11 ,$59.39 
9/14/2020,$59.70 ,6242711,$59.19 ,$60.09 ,$59.07 
9/11/2020,$58.99 ,8573842,$58.46 ,$59.27 ,$58.43 
9/10/2020,$58.29 ,11995270,$58.99 ,$59.30 ,$58.18 
9/9/2020,$59.08 ,7173681,$58.93 ,$59.60 ,$58.76 
9/8/2020,$58.53 ,11735880,$59.87 ,$60.00 ,$58.14 
9/4/2020,$59.95 ,16405780,$60.18 ,$60.53 ,$59.25 
9/3/2020,$60.05 ,16483900,$61.62 ,$62.02 ,$59.53 
9/2/2020,$61.60 ,13287260,$60.79 ,$61.82 ,$60.46 
9/1/2020,$60.97 ,12155650,$62.20 ,$62.26 ,$60.69 
8/31/2020,$62.20 ,14189750,$62.38 ,$62.80 ,$61.95 
8/28/2020,$62.37 ,6380448,$62.50 ,$62.59 ,$61.85 
8/27/2020,$62.51 ,6389455,$62.50 ,$62.96 ,$62.24 
8/26/2020,$62.28 ,6196062,$62.50 ,$62.59 ,$61.58 
8/25/2020,$62.71 ,6620701,$62.75 ,$63.37 ,$62.50 
8/24/2020,$62.41 ,8720994,$62.34 ,$62.46 ,$61.70 
8/21/2020,$62.19 ,8031476,$62.22 ,$62.35 ,$61.74 
